Jahr,Altersgruppe,Bundesland,Einwohner
2000,0-65,Baden-Württemberg,106304
2000,0-65,Bayern,121206
2000,0-65,Berlin,29486
2000,0-65,Brandenburg,18584
2000,0-65,Bremen,5961
2000,0-65,Hamburg,15860
2000,0-65,Hessen,58994
2000,0-65,Mecklenburg-Vorpommern,13228
2000,0-65,Niedersachsen,79391
2000,0-65,Nordrhein-Westfalen,174905
2000,0-65,Rheinland-Pfalz,37906
2000,0-65,Saarland,8615
2000,0-65,Sachsen,33032
2000,0-65,Sachsen-Anhalt,18577
2000,0-65,Schleswig-Holstein,27025
2000,0-65,Thüringen,17480
2000,0-65,Baden-Württemberg,108947
2000,0-65,Bayern,123962
2000,0-65,Berlin,29029
2000,0-65,Brandenburg,18481
2000,0-65,Bremen,5885
2000,0-65,Hamburg,15734
2000,0-65,Hessen,59238
2000,0-65,Mecklenburg-Vorpommern,12554
2000,0-65,Niedersachsen,80797
2000,0-65,Nordrhein-Westfalen,176902
2000,0-65,Rheinland-Pfalz,38509
2000,0-65,Saarland,8940
2000,0-65,Sachsen,31286
2000,0-65,Sachsen-Anhalt,17948
2000,0-65,Schleswig-Holstein,27915
2000,0-65,Thüringen,16813
2000,0-65,Baden-Württemberg,112293
2000,0-65,Bayern,127715
2000,0-65,Berlin,28343
2000,0-65,Brandenburg,18137
2000,0-65,Bremen,6027
2000,0-65,Hamburg,15643
2000,0-65,Hessen,60714
2000,0-65,Mecklenburg-Vorpommern,12236
2000,0-65,Niedersachsen,83871
2000,0-65,Nordrhein-Westfalen,182981
2000,0-65,Rheinland-Pfalz,40318
2000,0-65,Saarland,9118
2000,0-65,Sachsen,29995
2000,0-65,Sachsen-Anhalt,17246
2000,0-65,Schleswig-Holstein,28581
2000,0-65,Thüringen,16548
2000,0-65,Baden-Württemberg,117026
2000,0-65,Bayern,131037
2000,0-65,Berlin,28151
2000,0-65,Brandenburg,17930
2000,0-65,Bremen,6188
2000,0-65,Hamburg,15880
2000,0-65,Hessen,62904
2000,0-65,Mecklenburg-Vorpommern,12127
2000,0-65,Niedersachsen,87653
2000,0-65,Nordrhein-Westfalen,191162
2000,0-65,Rheinland-Pfalz,42275
2000,0-65,Saarland,9871
2000,0-65,Sachsen,28877
2000,0-65,Sachsen-Anhalt,16981
2000,0-65,Schleswig-Holstein,30051
2000,0-65,Thüringen,16561
2000,0-65,Baden-Württemberg,115085
2000,0-65,Bayern,129985
2000,0-65,Berlin,27318
2000,0-65,Brandenburg,16994
2000,0-65,Bremen,6086
2000,0-65,Hamburg,15418
2000,0-65,Hessen,62161
