Jahr,Altersgruppe,Einwohner
2000,0-30,766554
2001,0-30,735755
2002,0-30,719250
2003,0-30,706449
2004,0-30,704988
2005,0-30,685987
2006,0-30,673132
2007,0-30,685495
2008,0-30,683350
2009,0-30,665151
2010,0-30,678233
2011,0-30,658332
2012,0-30,674411
2013,0-30,683070
2014,0-30,716419
2015,0-30,744721
2016,0-30,788299
2017,0-30,785074
2018,0-30,783978
2019,0-30,774870
2020,0-30,769380
2021,0-30,791254
2022,0-30,791254
2000,0-30,772940
2001,0-30,772147
2002,0-30,739547
2003,0-30,722845
2004,0-30,710046
2005,0-30,708013
2006,0-30,688498
2007,0-30,676142
2008,0-30,688205
2009,0-30,687796
2010,0-30,670614
2011,0-30,679236
2012,0-30,665848
2013,0-30,684337
2014,0-30,695915
2015,0-30,740078
2016,0-30,762519
2017,0-30,796149
2018,0-30,796374
2019,0-30,794132
2020,0-30,783593
2021,0-30,780795
2022,0-30,780795
2000,0-30,789766
2001,0-30,775918
2002,0-30,773772
2003,0-30,741235
2004,0-30,724130
2005,0-30,710594
2006,0-30,708358
2007,0-30,689181
2008,0-30,676795
2009,0-30,689510
2010,0-30,690118
2011,0-30,669579
2012,0-30,684310
2013,0-30,672324
2014,0-30,694369
2015,0-30,715608
2016,0-30,753217
2017,0-30,770628
2018,0-30,802651
2019,0-30,802415
2020,0-30,798366
2021,0-30,789145
2022,0-30,789145
2000,0-30,814674
2001,0-30,792198
2002,0-30,777811
2003,0-30,775035
2004,0-30,741711
2005,0-30,724512
2006,0-30,710219
2007,0-30,708342
2008,0-30,689055
2009,0-30,677640
2010,0-30,691188
2011,0-30,689691
2012,0-30,674000
2013,0-30,690111
2014,0-30,681109
2015,0-30,713757
2016,0-30,727203
2017,0-30,760868
2018,0-30,776763
2019,0-30,807816
2020,0-30,806198
2021,0-30,803334
2022,0-30,803334
2000,0-30,799910
2001,0-30,816966
2002,0-30,794141
2003,0-30,778756
2004,0-30,775447
2005,0-30,741752
2006,0-30,723939
2007,0-30,709884
2008,0-30,707767
2009,0-30,689511
2010,0-30,678967
2011,0-30,689748
2012,0-30,693673
2013,0-30,679650
2014,0-30,698599
2015,0-30,699382
2016,0-30,725208
2017,0-30,734059
2018,0-30,766631
2019,0-30,782143
2020,0-30,811601
2021,0-30,810805
2022,0-30,810805
2000,0-30,773740
2001,0-30,802195
2002,0-30,819000
2003,0-30,794971
2004,0-30,778818
2005,0-30,775287
2006,0-30,741017
2007,0-30,723274
2008,0-30,708961
2009,0-30,707731
2010,0-30,690501
2011,0-30,677338
2012,0-30,693323
2013,0-30,699007
2014,0-30,687851
2015,0-30,716863
2016,0-30,709649
2017,0-30,732088
2018,0-30,739729
2019,0-30,771479
2020,0-30,785754
2021,0-30,816142
2022,0-30,816142
2000,0-30,782802
2001,0-30,775663
2002,0-30,803429
2003,0-30,819102
2004,0-30,794354
2005,0-30,777473
2006,0-30,773550
2007,0-30,739386
2008,0-30,721364
2009,0-30,708024
2010,0-30,707769
2011,0-30,687268
2012,0-30,679924
2013,0-30,697337
2014,0-30,706180
2015,0-30,704716
2016,0-30,725990
2017,0-30,715528
2018,0-30,736749
2019,0-30,743954
2020,0-30,774587
2021,0-30,789397
2022,0-30,789397
2000,0-30,814593
2001,0-30,784716
2002,0-30,777074
2003,0-30,803783
2004,0-30,818738
2005,0-30,793425
2006,0-30,776037
2007,0-30,772569
2008,0-30,738257
2009,0-30,721083
2010,0-30,708585
2011,0-30,705953
2012,0-30,690255
2013,0-30,684320
2014,0-30,704334
2015,0-30,723366
2016,0-30,714614
2017,0-30,732586
2018,0-30,720613
2019,0-30,741969
2020,0-30,747447
2021,0-30,779278
2022,0-30,779278
2000,0-30,834766
2001,0-30,817082
2002,0-30,786980
2003,0-30,778263
2004,0-30,804014
2005,0-30,818432
2006,0-30,792530
2007,0-30,775254
2008,0-30,771931
2009,0-30,738558
2010,0-30,721979
2011,0-30,706644
2012,0-30,708941
2013,0-30,694557
2014,0-30,691490
2015,0-30,720452
2016,0-30,733904
2017,0-30,721168
2018,0-30,738238
2019,0-30,725807
2020,0-30,745883
2021,0-30,752469
2022,0-30,752469
2000,0-30,867444
2001,0-30,837502
2002,0-30,819359
2003,0-30,788064
2004,0-30,779062
2005,0-30,803903
2006,0-30,817702
2007,0-30,791797
2008,0-30,774484
2009,0-30,772331
2010,0-30,739511
2011,0-30,720123
2012,0-30,709866
2013,0-30,713339
2014,0-30,701623
2015,0-30,706517
2016,0-30,729770
2017,0-30,740846
2018,0-30,726909
2019,0-30,743761
2020,0-30,729897
2021,0-30,750855
2022,0-30,750855
2000,0-30,955399
2001,0-30,870230
2002,0-30,840052
2003,0-30,820427
2004,0-30,788748
