Jahr,Altersgruppe,Woche,Tote
2021,Insgesamt,1,24842
2021,Insgesamt,2,24500
2021,Insgesamt,3,24075
2021,Insgesamt,4,22641
2021,Insgesamt,5,21732
2021,Insgesamt,6,20930
2021,Insgesamt,7,20467
2021,Insgesamt,8,18948
2021,Insgesamt,9,18434
2021,Insgesamt,10,18602
2021,Insgesamt,11,18332
2021,Insgesamt,12,18387
2021,Insgesamt,13,18489
2021,Insgesamt,14,18816
2021,Insgesamt,15,19058
2021,Insgesamt,16,19234
2021,Insgesamt,17,19497
2021,Insgesamt,18,19306
2021,Insgesamt,19,18585
2021,Insgesamt,20,17782
2021,Insgesamt,21,17149
2021,Insgesamt,22,18152
2021,Insgesamt,23,17397
2021,Insgesamt,24,19034
2021,Insgesamt,25,17168
2021,Insgesamt,26,16975
2021,Insgesamt,27,16941
2021,Insgesamt,28,17610
2021,Insgesamt,29,17566
2021,Insgesamt,30,17190
2021,Insgesamt,31,16978
2021,Insgesamt,32,17515
2021,Insgesamt,33,17421
2021,Insgesamt,34,17135
2021,Insgesamt,35,17306
2021,Insgesamt,36,18789
2021,Insgesamt,37,17975
2021,Insgesamt,38,18046
2021,Insgesamt,39,18007
2021,Insgesamt,40,18087
2021,Insgesamt,41,18793
2021,Insgesamt,42,19621
2021,Insgesamt,43,20007
2021,Insgesamt,44,20021
2021,Insgesamt,45,20789
2021,Insgesamt,46,22021
2021,Insgesamt,47,22891
2021,Insgesamt,48,23629
2021,Insgesamt,49,23410
2021,Insgesamt,50,22422
2021,Insgesamt,51,
2021,Insgesamt,52,
2021,Insgesamt,53,
2021,0-30,1,119
2021,0-30,2,124
2021,0-30,3,130
2021,0-30,4,147
2021,0-30,5,136
2021,0-30,6,109
2021,0-30,7,115
2021,0-30,8,138
2021,0-30,9,157
2021,0-30,10,113
2021,0-30,11,149
2021,0-30,12,109
2021,0-30,13,136
2021,0-30,14,131
2021,0-30,15,144
2021,0-30,16,153
2021,0-30,17,119
2021,0-30,18,149
2021,0-30,19,132
2021,0-30,20,155
2021,0-30,21,146
2021,0-30,22,158
2021,0-30,23,152
2021,0-30,24,167
2021,0-30,25,164
2021,0-30,26,153
2021,0-30,27,146
2021,0-30,28,139
2021,0-30,29,154
2021,0-30,30,142
2021,0-30,31,149
2021,0-30,32,138
2021,0-30,33,136
2021,0-30,34,146
2021,0-30,35,140
2021,0-30,36,157
2021,0-30,37,145
2021,0-30,38,157
2021,0-30,39,143
2021,0-30,40,148
2021,0-30,41,130
2021,0-30,42,154
2021,0-30,43,160
2021,0-30,44,128
2021,0-30,45,131
2021,0-30,46,157
2021,0-30,47,133
2021,0-30,48,152
2021,0-30,49,124
2021,0-30,50,117
2021,0-30,51,
2021,0-30,52,
2021,0-30,53,
2021,30-35,1,50
2021,30-35,2,51
2021,30-35,3,56
2021,30-35,4,58
2021,30-35,5,60
2021,30-35,6,46
2021,30-35,7,37
2021,30-35,8,41
2021,30-35,9,39
2021,30-35,10,68
2021,30-35,11,55
2021,30-35,12,54
2021,30-35,13,53
2021,30-35,14,47
2021,30-35,15,59
2021,30-35,16,53
2021,30-35,17,57
2021,30-35,18,53
2021,30-35,19,42
2021,30-35,20,56
2021,30-35,21,48
2021,30-35,22,45
2021,30-35,23,38
2021,30-35,24,45
2021,30-35,25,57
2021,30-35,26,48
2021,30-35,27,57
2021,30-35,28,64
2021,30-35,29,52
2021,30-35,30,51
2021,30-35,31,48
2021,30-35,32,58
2021,30-35,33,63
2021,30-35,34,38
2021,30-35,35,55
2021,30-35,36,59
2021,30-35,37,59
2021,30-35,38,50
2021,30-35,39,46
2021,30-35,40,50
2021,30-35,41,54
2021,30-35,42,62
2021,30-35,43,52
2021,30-35,44,55
2021,30-35,45,48
2021,30-35,46,43
2021,30-35,47,45
2021,30-35,48,59
2021,30-35,49,53
2021,30-35,50,48
2021,30-35,51,
2021,30-35,52,
2021,30-35,53,
2021,35-40,1,72
2021,35-40,2,77
2021,35-40,3,72
2021,35-40,4,71
2021,35-40,5,82
2021,35-40,6,68
2021,35-40,7,70
2021,35-40,8,78
2021,35-40,9,100
2021,35-40,10,81
2021,35-40,11,80
2021,35-40,12,67
2021,35-40,13,83
2021,35-40,14,86
2021,35-40,15,70
2021,35-40,16,82
2021,35-40,17,80
2021,35-40,18,97
2021,35-40,19,99
2021,35-40,20,81
2021,35-40,21,76
2021,35-40,22,88
2021,35-40,23,80
2021,35-40,24,84
2021,35-40,25,85
2021,35-40,26,76
2021,35-40,27,56
2021,35-40,28,88
2021,35-40,29,63
2021,35-40,30,67
2021,35-40,31,82
2021,35-40,32,94
2021,35-40,33,80
2021,35-40,34,69
2021,35-40,35,96
2021,35-40,36,78
2021,35-40,37,99
2021,35-40,38,83
2021,35-40,39,88
2021,35-40,40,83
2021,35-40,41,75
2021,35-40,42,97
2021,35-40,43,77
2021,35-40,44,48
2021,35-40,45,73
2021,35-40,46,77
2021,35-40,47,91
2021,35-40,48,77
2021,35-40,49,87
2021,35-40,50,81
2021,35-40,51,
2021,35-40,52,
2021,35-40,53,
2021,40-45,1,119
2021,40-45,2,126
2021,40-45,3,117
2021,40-45,4,119
2021,40-45,5,125
2021,40-45,6,116
2021,40-45,7,119
2021,40-45,8,113
2021,40-45,9,130
2021,40-45,10,114
2021,40-45,11,104
2021,40-45,12,121
2021,40-45,13,125
