flu_season	bundesland	tote100kWeighted	baseline	excess
2020/2021	Baden-Württemberg	489.5902368667911	479.3349750703409	0.021394770525445805
2020/2021	Bayern	527.2444656654995	498.4316130253733	0.05780703287505862
2020/2021	Berlin	547.2937435225531	501.3498783434325	0.09164032378132592
2020/2021	Brandenburg	596.1040695926563	539.077453104671	0.10578557155294832
2020/2021	Bremen	522.1471511318719	539.5970377222291	-0.03233873681741739
2020/2021	Hamburg	509.2256806321538	503.0249106858426	0.012326963962593585
2020/2021	Hessen	545.5604767821926	505.5214298249464	0.07920346120858035
2020/2021	Mecklenburg-Vorpomme	569.4670292378391	557.3947380039659	0.021658423395068516
2020/2021	Niedersachsen	532.7016079627022	538.3173923082245	-0.01043210645943038
2020/2021	Nordrhein-Westfalen	545.3081760922964	535.2572401195629	0.018777767434754233
2020/2021	Rheinland-Pfalz	539.9626840513031	528.2757692266254	0.02212275388247864
2020/2021	Saarland	595.1702205920744	573.0050617069593	0.03868230905166192
2020/2021	Sachsen	655.6704179652938	522.0899675969849	0.25585714849710195
2020/2021	Sachsen-Anhalt	650.842835591731	588.8127630005954	0.1053477038694437
2020/2021	Schleswig-Holstein	521.442801621969	537.7124640632287	-0.03025717930791083
2020/2021	Thüringen	625.6481723680114	560.8989397128613	0.11543832243344387
2021/2022	Baden-Württemberg	509.258077878402	479.3349750703409	0.06242628717770904
2021/2022	Bayern	545.944734761116	498.4316130253733	0.09532525725514929
2021/2022	Berlin	514.30964025083	501.3498783434325	0.025849735817667474
2021/2022	Brandenburg	588.625341476121	539.077453104671	0.09191237378987438
2021/2022	Bremen	551.6914225197572	539.5970377222291	0.022413734605700508
2021/2022	Hamburg	511.2473784355972	503.0249106858426	0.016346044848045027
2021/2022	Hessen	527.919304724882	505.5214298249464	0.04430647956445988
2021/2022	Mecklenburg-Vorpomme	621.61064536665	557.3947380039659	0.11520723642394204
2021/2022	Niedersachsen	551.8829161556245	538.3173923082245	0.025199861719557237
2021/2022	Nordrhein-Westfalen	559.0873943062346	535.2572401195629	0.044520937598805155
2021/2022	Rheinland-Pfalz	552.3137841356872	528.2757692266254	0.04550277773340339
2021/2022	Saarland	620.9309396196743	573.0050617069593	0.08363953674326319
2021/2022	Sachsen	596.1355160275305	522.0899675969849	0.14182526580879107
2021/2022	Sachsen-Anhalt	642.9375880492572	588.8127630005954	0.09192196305807165
2021/2022	Schleswig-Holstein	544.9204814669944	537.7124640632287	0.01340496619568432
2021/2022	Thüringen	642.3576116862337	560.8989397128613	0.1452287858042185
