flu_season	bundesland	tote100kWeighted	baseline	excess
2020/2021	Baden-Württemberg	486.1230116750314	479.3349750703409	0.014161363050327003
2020/2021	Bayern	523.8098944091389	498.4316130253733	0.05091627561447165
2020/2021	Berlin	544.5332273751975	501.3498783434325	0.08613415679774783
2020/2021	Brandenburg	593.3903346837576	539.077453104671	0.10075153628905498
2020/2021	Bremen	521.0909782101046	539.5970377222291	-0.03429607321464012
2020/2021	Hamburg	506.9112815283055	503.0249106858426	0.0077260007604078584
2020/2021	Hessen	542.398966674767	505.5214298249464	0.07294950258110866
2020/2021	Mecklenburg-Vorpomme	567.6436971985332	557.3947380039659	0.018387255020147597
2020/2021	Niedersachsen	528.6988913531773	538.3173923082245	-0.017867713531982576
2020/2021	Nordrhein-Westfalen	542.8265697252833	535.2572401195629	0.014141480092879632
2020/2021	Rheinland-Pfalz	537.2651857561968	528.2757692266254	0.017016522530896472
2020/2021	Saarland	593.3288830613499	573.0050617069593	0.03546883389449773
2020/2021	Sachsen	655.7130496293764	522.0899675969849	0.2559388042781521
2020/2021	Sachsen-Anhalt	650.6180800837483	588.8127630005954	0.10496599422912034
2020/2021	Schleswig-Holstein	515.9255056198467	537.7124640632287	-0.0405178601938081
2020/2021	Thüringen	625.5280635416887	560.8989397128613	0.1152241861286325
2021/2022	Baden-Württemberg	502.53209584031435	479.3349750703409	0.048394383836834365
2021/2022	Bayern	539.4200614175961	498.4316130253733	0.082234848916247
2021/2022	Berlin	513.7498129755672	501.3498783434325	0.024733095923163972
2021/2022	Brandenburg	583.7319352476334	539.077453104671	0.0828350024394211
2021/2022	Bremen	551.0281078341632	539.5970377222291	0.021184456757189496
2021/2022	Hamburg	516.2159736975802	503.0249106858426	0.02622347866182695
2021/2022	Hessen	522.6561419149679	505.5214298249464	0.03389512507106751
2021/2022	Mecklenburg-Vorpomme	616.5736784529504	557.3947380039659	0.10617061198120492
2021/2022	Niedersachsen	543.8799061699626	538.3173923082245	0.010333149070080871
2021/2022	Nordrhein-Westfalen	554.2832518171546	535.2572401195629	0.03554554758258255
2021/2022	Rheinland-Pfalz	546.7648421958318	528.2757692266254	0.03499890406912609
2021/2022	Saarland	617.2586130426869	573.0050617069593	0.07723064645170497
2021/2022	Sachsen	596.060140627317	522.0899675969849	0.14168089337321188
2021/2022	Sachsen-Anhalt	642.4002219893284	588.8127630005954	0.09100933667886357
2021/2022	Schleswig-Holstein	535.4200013819376	537.7124640632287	-0.004263361618899619
2021/2022	Thüringen	642.0137209393515	560.8989397128613	0.14461567937356934
