jahr	bundesland	jahr_quartal	tote100kWeighted	baseline	excess
2020	Baden-Württemberg	2020/1	268.0796606840124	278.59419833270596	-0.03774140923113101
2020	Baden-Württemberg	2020/2	251.45358799384996	233.4606950612277	0.07707033052353163
2020	Baden-Württemberg	2020/3	232.449788765116	228.98255271476143	0.015141922427049037
2020	Baden-Württemberg	2020/4	283.85011208188604	248.8548426303793	0.14062522987943105
2020	Baden-Württemberg	2020/5	25.029174434432072	0	NULL
2020	Bayern	2020/1	279.4709936688096	286.8358740642446	-0.025676287596388292
2020	Bayern	2020/2	262.78933862641037	241.1263394995106	0.08984086587912454
2020	Bayern	2020/3	240.33150832069836	233.27803473117052	0.030236338357600978
2020	Bayern	2020/4	297.97149704840484	256.87231110092983	0.1599985057608111
2020	Bayern	2020/5	28.317718253999963	0	NULL
2020	Berlin	2020/1	252.66860402916083	270.56162942579346	-0.06613290079087186
2020	Berlin	2020/2	238.94076779815333	226.8543482461596	0.053278324376126784
2020	Berlin	2020/3	232.2542471687361	220.84949195346874	0.05164039597460457
2020	Berlin	2020/4	292.13272170319055	237.13069037576787	0.23194817693257685
2020	Berlin	2020/5	28.137970485425022	0	NULL
2020	Brandenburg	2020/1	344.43917219232486	357.5473681556003	-0.03666142483692092
2020	Brandenburg	2020/2	316.9014223623123	302.5153244662684	0.047554939312332234
2020	Brandenburg	2020/3	309.7898083459532	289.8333766679607	0.06885484310820078
2020	Brandenburg	2020/4	378.3773746370607	314.2413363633857	0.20409803183725228
2020	Brandenburg	2020/5	43.89446206763856	0	NULL
2020	Bremen	2020/1	313.7635452045933	321.02556387231834	-0.02262130959331754
2020	Bremen	2020/2	291.2678458529986	271.14608771827506	0.07421002568781443
2020	Bremen	2020/3	290.97378442356614	266.9953011871319	0.08980863382171744
2020	Bremen	2020/4	295.9728287239205	289.857506356659	0.021097685011258083
2020	Bremen	2020/5	23.524914354608676	0	NULL
2020	Hamburg	2020/1	249.17974734382813	267.5140347659059	-0.0685357964045572
2020	Hamburg	2020/2	244.69926228543608	228.00748363479622	0.07320715260984767
2020	Hamburg	2020/3	229.42242768874985	221.13343463743433	0.03748412384995503
