jahr_quartal	tote100kWeighted
2016/1	320.3345203362057
2016/2	287.2864348119742
2016/3	277.79813333963915
2016/4	210.2781728029394
2017/1	354.7873103187254
2017/2	283.3833844107828
2017/3	273.2812679147799
2017/4	202.82286744976022
2018/1	361.1780568591286
2018/2	286.2706108675782
2018/3	284.4219085639345
2018/4	197.82988033475007
2019/1	319.79950885849337
2019/2	283.3879051405254
2019/3	274.043860803557
2019/4	200.85370234532158
2020/1	308.83460100507943
2020/2	285.75376860568696
2020/3	274.4701601263517
2020/4	208.99769643309733
2021/1	325.1730121340512
2021/2	286.3647870903738
2021/3	274.43277059341966
2021/4	222.76024628384573
