jahr_quartal	tote100kWeighted
2000/1	347.43810698384004
2000/2	296.03596719547846
2000/3	284.9464822029091
2000/4	309.0841640796491
2001/1	318.44198209808013
2001/2	299.9582657273668
2001/3	290.6949029194937
2001/4	308.0757680148453
2002/1	323.86277008932296
2002/2	305.19260980925065
2002/3	288.0369296107895
2002/4	318.2348525170916
2003/1	351.8797042282548
2003/2	300.4509316454601
2003/3	300.2186564030318
2003/4	300.9519218148391
2004/1	312.1443590232975
2004/2	284.7684126500356
2004/3	274.6912386873538
2004/4	293.2671693809089
2004/5	24.240466581006686
2005/1	322.25054060335776
2005/2	279.3318369775997
2005/3	261.883089743975
2005/4	286.9473674657156
2006/1	293.01161931317233
2006/2	271.8226693707685
2006/3	269.9945385318597
2006/4	270.8006419912279
2007/1	287.67235147941983
2007/2	264.6530753423256
2007/3	252.68804045155687
2007/4	280.2751865044531
2008/1	292.21525188561117
2008/2	265.67290713061004
2008/3	250.16480266439905
2008/4	273.87484670863057
2009/1	310.05706329142856
2009/2	254.37229442295776
2009/3	242.53873407167458
2009/4	265.69055062704547
2009/5	22.01198853714136
2010/1	278.8015866951634
2010/2	255.26479780593795
2010/3	250.9267838755652
2010/4	267.68541080883205
2011/1	277.8933297842623
2011/2	252.7819803341068
2011/3	244.66059326885335
2011/4	271.71371844785
2012/1	279.8241389005332
2012/2	255.4030258652388
2012/3	243.04917361785996
2012/4	267.43309788421544
2013/1	304.1517601074958
2013/2	259.9911513299078
2013/3	239.91911987078566
2013/4	255.338868052099
2014/1	259.86647182766217
2014/2	243.15827827925472
2014/3	239.10839834134967
2014/4	259.1236450674364
2015/1	305.80078884456015
2015/2	251.08685995783992
2015/3	242.10112741531756
2015/4	249.67287180146081
2015/5	19.504211838834014
2016/1	270.74496624670945
2016/2	243.07457412471135
2016/3	234.87804867370915
2016/4	262.2863311211796
2017/1	297.4527259547448
2017/2	239.66244661942824
2017/3	231.16478817343307
2017/4	251.8386802238338
2018/1	303.6642819182776
2018/2	241.9009960091912
2018/3	240.0788488433347
2018/4	246.0080353152131
2019/1	269.8124278156341
2019/2	239.7250265766545
2019/3	231.70716931428154
2019/4	249.09735335377104
2020/1	260.79204947910614
2020/2	241.70358342387087
2020/3	232.09662672455218
2020/4	275.3995397647924
2020/5	26.064974842003558
2021/1	274.4638297419927
2021/2	243.8686895487859
2021/3	233.51296336435172
2021/4	282.79344588142504
2022/1	269.36481320021284
2022/2	79.47275683885229
