jahr	tote100kWeighted
2000	418.5772577430863
2001	389.67110740605636
2002	398.8110846235434
2003	424.9899996726398
2004	380.6003935948329
2005	388.88895254378383
2006	357.58848215897507
2007	352.36862240727913
2008	357.04218924544125
2009	371.7285612916859
2010	338.5021748107192
2011	338.2769848919435
2012	342.17278159251174
2013	371.49987177144857
2014	318.68248464780686
2015	368.1577139706304
2016	329.63366831583477
2017	353.0644799276233
2018	365.6158964729071
2019	327.5508698298112
2020	323.30003265958464
2021	333.01589414823
2022	329.32264134660693
