jahr	week_max	tote100kWeighted
2000	19	486.9423091298362
2001	19	460.68704471880216
2002	19	469.9187806813338
2003	19	494.49566454800356
2004	19	446.94795419944086
2005	19	453.38394279744523
2006	19	421.37525565142107
2007	19	413.86922362037006
2008	19	419.75303154645474
2009	19	430.34212139270073
2010	19	397.40824484759787
2011	19	398.0701974343119
2012	19	402.04331221929664
2013	19	430.81384110821904
2014	19	374.78168157976904
2015	19	427.0752602488549
2016	19	387.2326433061408
2017	19	410.43201318910116
2018	19	421.0824751491428
2019	19	382.6483268807882
2020	19	379.37912025994484
2021	19	391.8697987546315
2022	19	387.9689705134785
