bundesland	jahr	tote100kWeighted
Baden-Württemberg	2016	826.925536982511
Baden-Württemberg	2017	852.2305907646672
Baden-Württemberg	2018	866.5948238286111
Baden-Württemberg	2019	861.996430036627
Baden-Württemberg	2020	867.2937680237754
Baden-Württemberg	2021	889.6389935623959
Bayern	2016	847.2439071790955
Bayern	2017	888.5988094054692
Bayern	2018	889.5119808704341
Bayern	2019	876.2994641340246
Bayern	2020	903.1152762484357
Bayern	2021	930.4132217945512
Berlin	2016	810.9476534548496
Berlin	2017	822.334056086974
Berlin	2018	852.1668798455677
Berlin	2019	814.8814099830191
Berlin	2020	839.772407212927
Berlin	2021	867.0370362283876
Brandenburg	2016	1055.4194419413082
Brandenburg	2017	1093.712560502228
Brandenburg	2018	1125.2362239675917
Brandenburg	2019	1088.507720192728
Brandenburg	2020	1119.3680461749198
Brandenburg	2021	1226.1607833205792
Bremen	2016	966.0362458803129
Bremen	2017	1002.1555521620131
Bremen	2018	1021.1043857414356
Bremen	2019	971.0775951920284
Bremen	2020	1027.303603722819
Bremen	2021	997.7504300648411
Hamburg	2016	809.3069190991354
Hamburg	2017	828.0963889119538
Hamburg	2018	844.5675298273552
Hamburg	2019	812.178948958264
Hamburg	2020	828.4039000733071
Hamburg	2021	858.1478430513072
Hessen	2016	876.7942768555664
Hessen	2017	916.4600172153596
Hessen	2018	924.5414279305354
Hessen	2019	907.0813348430682
Hessen	2020	919.2211091608432
Hessen	2021	963.1100716747118
Mecklenburg-Vorpomme	2016	1085.197873685177
Mecklenburg-Vorpomme	2017	1106.870442220593
Mecklenburg-Vorpomme	2018	1177.1941540994299
Mecklenburg-Vorpomme	2019	1159.4776070212888
Mecklenburg-Vorpomme	2020	1147.0882941989382
Mecklenburg-Vorpomme	2021	1257.7183391338572
Niedersachsen	2016	990.399191510864
Niedersachsen	2017	1011.0168879567739
Niedersachsen	2018	1044.1408450139604
Niedersachsen	2019	1011.445645070411
Niedersachsen	2020	1027.2732122925936
Niedersachsen	2021	1054.4615858643447
Nordrhein-Westfalen	2016	963.1472154990745
Nordrhein-Westfalen	2017	980.9607275157725
Nordrhein-Westfalen	2018	1022.386483738517
Nordrhein-Westfalen	2019	988.3089978108586
Nordrhein-Westfalen	2020	1002.7519348059776
Nordrhein-Westfalen	2021	1030.0035089539692
Rheinland-Pfalz	2016	962.5304933310016
Rheinland-Pfalz	2017	1001.5516686513595
Rheinland-Pfalz	2018	1023.1724883496167
Rheinland-Pfalz	2019	997.361197859353
Rheinland-Pfalz	2020	996.2690236241493
Rheinland-Pfalz	2021	1037.7487165085033
Saarland	2016	1099.3818297478251
Saarland	2017	1149.7836926051134
Saarland	2018	1220.9884009130667
Saarland	2019	1186.2553666225213
Saarland	2020	1179.1774518262862
Saarland	2021	1209.7671625045346
Sachsen	2016	1109.1476445465132
Sachsen	2017	1153.0127106310042
Sachsen	2018	1196.9777855812874
Sachsen	2019	1157.596652824885
Sachsen	2020	1177.4881616469163
Sachsen	2021	1282.2222457758203
Sachsen-Anhalt	2016	1200.4461035697225
Sachsen-Anhalt	2017	1269.2295062573069
Sachsen-Anhalt	2018	1315.5243282113422
Sachsen-Anhalt	2019	1262.904470694584
Sachsen-Anhalt	2020	1289.7788033479403
Sachsen-Anhalt	2021	1416.2528821232224
Schleswig-Holstein	2016	1006.2021023440573
Schleswig-Holstein	2017	1025.0807922013164
Schleswig-Holstein	2018	1073.1477620143112
Schleswig-Holstein	2019	1029.7636902058111
Schleswig-Holstein	2020	1032.0264525271612
Schleswig-Holstein	2021	1071.3617039549963
Thüringen	2016	1114.345395639184
Thüringen	2017	1177.7120265153717
Thüringen	2018	1205.9846627269728
Thüringen	2019	1173.3504329753089
Thüringen	2020	1167.0865096684943
Thüringen	2021	1339.5200630872864
