jahr	bundesland	jahr_quartal	tote100k	baseline	excess
2020	Baden-Württemberg	2020/1	5398.2503019098685	5939.518310393128	-0.09112995030861915
2020	Baden-Württemberg	2020/2	4986.225543287529	4849.260333220755	0.028244557036558593
2020	Baden-Württemberg	2020/3	4595.584342487861	4731.20344518369	-0.028664821597111256
2020	Baden-Württemberg	2020/4	5794.6200891420185	5253.584478474161	0.10298408884156651
2020	Baden-Württemberg	2020/5	523.0920490573744	0	NULL
2020	Bayern	2020/1	5659.162467865931	6199.892391941306	-0.08721601761640618
2020	Bayern	2020/2	5300.5375399634895	5038.141592580366	0.05208189221389725
2020	Bayern	2020/3	4762.010245323605	4853.403221900226	-0.018830699284210328
2020	Bayern	2020/4	6196.158676840855	5455.436167671359	0.13577695465652795
2020	Bayern	2020/5	603.2973133737225	0	NULL
2020	Berlin	2020/1	4967.400253627987	5868.175364544425	-0.1535017369042736
2020	Berlin	2020/2	4702.958121098004	4721.7225792341205	-0.003974070441715827
2020	Berlin	2020/3	4661.706070973336	4618.63019354632	0.009326548266888057
2020	Berlin	2020/4	6066.386198951512	5028.47746849647	0.20640616110096244
2020	Berlin	2020/5	600.6432743659788	0	NULL
2020	Brandenburg	2020/1	5371.090393025263	6164.3213180330185	-0.12868098272023043
2020	Brandenburg	2020/2	4864.412772253183	5038.631339488403	-0.034576565637943424
2020	Brandenburg	2020/3	4879.570806361461	4828.586121900314	0.010558926189574214
2020	Brandenburg	2020/4	6177.95221675926	5310.629590512292	0.16331823025211234
2020	Brandenburg	2020/5	762.1000372439357	0	NULL
2020	Bremen	2020/1	5476.729038305198	6033.085677626622	-0.09221759296153265
2020	Bremen	2020/2	5028.098495290029	4927.662075891376	0.020382164574563433
2020	Bremen	2020/3	5077.90440762367	4917.339825469922	0.032652732544959484
2020	Bremen	2020/4	5398.0093124306	5386.6570399743105	0.0021074800886793366
2020	Bremen	2020/5	396.4674418817262	0	NULL
2020	Hamburg	2020/1	5228.041161695531	5863.681132533385	-0.10840288830017397
2020	Hamburg	2020/2	5078.002621444388	4882.899787893523	0.03995634602917608
2020	Hamburg	2020/3	4745.8509216496805	4762.159127911739	-0.0034245403868329305
2020	Hamburg	2020/4	5440.975553786806	5282.5432558833045	0.029991670721683406
2020	Hamburg	2020/5	546.2356386271389	0	NULL
2020	Hessen	2020/1	5523.854979740947	6136.63709197884	-0.0998563387492567
2020	Hessen	2020/2	5062.493851661168	5045.059719307558	0.003455684040148954
2020	Hessen	2020/3	4904.952314132087	4958.738255575733	-0.010846699033401852
2020	Hessen	2020/4	6111.1011951064265	5401.412155981229	0.13138953640842366
2020	Hessen	2020/5	609.0881465805487	0	NULL
2020	Mecklenburg-Vorpomme	2020/1	5268.136569796498	6085.634766860901	-0.13433244491044039
2020	Mecklenburg-Vorpomme	2020/2	4838.879658459573	5077.7222740389	-0.04703735310622803
2020	Mecklenburg-Vorpomme	2020/3	4736.404657129711	4915.423221531071	-0.036419766179482504
2020	Mecklenburg-Vorpomme	2020/4	5452.999584625106	5325.787473731639	0.023886065961308933
2020	Mecklenburg-Vorpomme	2020/5	454.1725150431488	0	NULL
2020	Niedersachsen	2020/1	5753.341279641827	6481.992593148466	-0.11241162390047021
2020	Niedersachsen	2020/2	5188.332099302206	5275.84184692082	-0.016586878484556533
2020	Niedersachsen	2020/3	5037.5922449190175	5088.608449398156	-0.010025570838560482
2020	Niedersachsen	2020/4	5612.933879932582	5542.397779254128	0.01272663989266154
2020	Niedersachsen	2020/5	493.42581039847863	0	NULL
2020	Nordrhein-Westfalen	2020/1	5621.934331080929	6304.688098005592	-0.10829302834832444
2020	Nordrhein-Westfalen	2020/2	5160.98783887397	5169.171836684629	-0.0015832319120403504
2020	Nordrhein-Westfalen	2020/3	5049.521055791098	5060.02269185915	-0.002075412840528923
2020	Nordrhein-Westfalen	2020/4	5833.499745922406	5476.084520134588	0.06526839103261928
2020	Nordrhein-Westfalen	2020/5	544.5310673721101	0	NULL
2020	Rheinland-Pfalz	2020/1	5591.921009441334	6360.570327755113	-0.12084597429253874
2020	Rheinland-Pfalz	2020/2	5089.299168880502	5178.376195013075	-0.017201729418259704
2020	Rheinland-Pfalz	2020/3	4939.6163859922135	5039.267951375247	-0.01977500826401546
2020	Rheinland-Pfalz	2020/4	6104.691256512808	5478.715703753051	0.11425589254995461
2020	Rheinland-Pfalz	2020/5	564.8451861344229	0	NULL
2020	Saarland	2020/1	5938.102736101021	6541.107659815431	-0.092186974297779
2020	Saarland	2020/2	5272.121950786187	5452.536458268327	-0.033088179943951745
2020	Saarland	2020/3	5170.260298111319	5286.476698966209	-0.021983715709485208
2020	Saarland	2020/4	6219.869713395563	5660.476802987767	0.09882434464046064
2020	Saarland	2020/5	535.2823982725319	0	NULL
2020	Sachsen	2020/1	5567.1903267715525	6178.571800905551	-0.09895190892568284
2020	Sachsen	2020/2	4954.236313346111	5011.770537098054	-0.011479820020901532
2020	Sachsen	2020/3	4834.17578078435	4875.545973558895	-0.008485243088446781
2020	Sachsen	2020/4	7878.565657503967	5302.04658030696	0.48594802745920807
2020	Sachsen	2020/5	966.0285136936739	0	NULL
2020	Sachsen-Anhalt	2020/1	5733.697026205916	6604.0338840295435	-0.13178867236407632
2020	Sachsen-Anhalt	2020/2	5168.347852228739	5406.373907235562	-0.04402693174592742
2020	Sachsen-Anhalt	2020/3	5166.488782003431	5162.561568785328	0.00076071019507995
2020	Sachsen-Anhalt	2020/4	6225.545984363692	5620.337618596621	0.10768185237921513
2020	Sachsen-Anhalt	2020/5	717.9074924454599	0	NULL
2020	Schleswig-Holstein	2020/1	5504.842567160904	6477.466711203835	-0.1501550200729892
2020	Schleswig-Holstein	2020/2	4900.145619961802	5294.955782726357	-0.07456344849045515
2020	Schleswig-Holstein	2020/3	4868.367888317754	5073.586706319304	-0.04044846966859639
2020	Schleswig-Holstein	2020/4	5250.536524012013	5597.0051192100145	-0.061902497464019435
2020	Schleswig-Holstein	2020/5	479.4335090650063	0	NULL
2020	Thüringen	2020/1	5604.857533017326	6624.407014678149	-0.15390803726306934
2020	Thüringen	2020/2	5236.76992800313	5299.739828587267	-0.01188169657772098
2020	Thüringen	2020/3	4907.92427212937	5112.711677406586	-0.040054557776489697
2020	Thüringen	2020/4	6372.645870956145	5588.4820802164	0.1403178500859359
2020	Thüringen	2020/5	739.3094878593113	0	NULL
2021	Baden-Württemberg	2021/1	5492.137809796328	5859.037032506278	-0.0626210793129266
2021	Baden-Württemberg	2021/2	4914.6986559675925	4783.5521986501935	0.027416123389309988
2021	Baden-Württemberg	2021/3	4764.54482641334	4667.094997442269	0.020880189716403263
2021	Baden-Württemberg	2021/4	1677.8860475868873	1513.7422430635547	0.10843576921730991
2021	Bayern	2021/1	5992.970779571375	6115.883009969832	-0.020097217392499367
2021	Bayern	2021/2	5004.911119590529	4969.874091352827	0.007049882470596902
2021	Bayern	2021/3	4974.02625441777	4787.638950626713	0.03893094398161723
2021	Bayern	2021/4	1738.019769487146	1565.4939955783432	0.11020532457875465
2021	Berlin	2021/1	5704.841828288868	5788.6607932405095	-0.014479854312679397
2021	Berlin	2021/2	4704.580743738442	4657.742598510936	0.01005597545095771
2021	Berlin	2021/3	4605.099326715681	4556.047128617811	0.010766393918482331
2021	Berlin	2021/4	1576.7422391995456	1475.0860713150716	0.06891541440279836
2021	Brandenburg	2021/1	6544.638947449687	6080.793928932737	0.07628033837982096
2021	Brandenburg	2021/2	5212.506436265097	4970.3572021239	0.048718678415652805
2021	Brandenburg	2021/3	5030.59782142791	4763.15812569442	0.056147557707734164
2021	Brandenburg	2021/4	1637.277044677985	1544.0762428791686	0.06036023300574134
2021	Bremen	2021/1	5479.510801680622	5951.336549235756	-0.07928063614814795
2021	Bremen	2021/2	4829.143066399368	4860.891587084507	-0.006531419209079958
2021	Bremen	2021/3	5053.876614598253	4850.709204554886	0.04188406302579217
2021	Bremen	2021/4	1432.615469462206	1534.5926728457248	-0.06645229394612828
2021	Hamburg	2021/1	5689.442638424944	5784.227458682168	-0.01638677263892019
2021	Hamburg	2021/2	4866.509103890088	4816.735834154135	0.01033340242224301
2021	Hamburg	2021/3	4839.863050167604	4697.631226474982	0.03027734976109442
2021	Hamburg	2021/4	1475.825351153279	1541.8458340564464	-0.042819120721994675
2021	Hessen	2021/1	6115.096231455838	6053.484827892697	0.010177840585187337
2021	Hessen	2021/2	5111.285502027299	4976.6984765254865	0.027043435750959022
2021	Hessen	2021/3	4909.830750177414	4891.546680323443	0.003737891315137576
2021	Hessen	2021/4	1633.6455965262485	1555.4408236548131	0.05027820517638082
2021	Mecklenburg-Vorpomme	2021/1	6094.438849519871	6003.173591190716	0.01520283512425502
2021	Mecklenburg-Vorpomme	2021/2	5252.103937244988	5008.918449214572	0.048550498574906564
